state,x,y
Alabama,122,-89
Alaska,-204,-170
Arizona,-223,-40
Arkansas,37,-53
California,-317,13
Colorado,-132,20
Connecticut,297,85
Delaware,275,42
Florida,200,-135
Georgia,167,-75
Hawaii,-317,-143
Idaho,-216,102
Illinois,83,37
Indiana,123,39
Iowa,38,65
Kansas,-47,5
Kentucky,139,-9
Louisiana,51,-126
Maine,314,161
Maryland,283,27
Massachusetts,297,103
Michigan,132,92
Minnesota,9,135
Mississippi,80,-78
Missouri,39,6
Montana,-141,150
Nebraska,-61,66
Nevada,-263,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-148,-43
New York,236,96
North Carolina,200,-28
North Dakota,-64,152
Ohio,176,52
Oklahoma,-28,-41
Oregon,-292,133
Pennsylvania,208,69
Rhode Island,313,94
South Carolina,195,-51
South Dakota,-64,109
Tennessee,111,-38
Texas,-48,-106
Utah,-189,34
Vermont,272,144
Virginia,228,7
Washington,-283,180
West Virginia,200,20
Wisconsin,56,113
Wyoming,-144,90
